test_rmse_step,step,test_rmse_epoch,test_r_squared,epoch
29.79340362548828,0,,,
63.7025260925293,1,,,
41.09223937988281,2,,,
346.7427978515625,3,,,
37.307960510253906,4,,,
44.560054779052734,5,,,
51.89924621582031,6,,,
50.189125061035156,7,,,
166.33456420898438,8,,,
58.80234909057617,9,,,
32.455841064453125,10,,,
70.87397766113281,11,,,
58.027137756347656,12,,,
51.84159469604492,13,,,
39.467472076416016,14,,,
37.18202590942383,15,,,
64.29352569580078,16,,,
33.94504928588867,17,,,
90.7058334350586,18,,,
42.531917572021484,19,,,
42.7845458984375,20,,,
51.04582214355469,21,,,
63.17021560668945,22,,,
59.411094665527344,23,,,
38.74893569946289,24,,,
121.0364761352539,25,,,
42.16659927368164,26,,,
154.61721801757812,27,,,
43.839744567871094,28,,,
59.8298454284668,29,,,
55.89364242553711,30,,,
46.6293830871582,31,,,
64.55012512207031,32,,,
64.95647430419922,33,,,
144.8748321533203,34,,,
59.52345275878906,35,,,
67.21173095703125,36,,,
52.60506057739258,37,,,
89.18302154541016,38,,,
50.83313751220703,39,,,
56.006107330322266,40,,,
48.489620208740234,41,,,
39.735069274902344,42,,,
67.45989227294922,43,,,
36.76502227783203,44,,,
51.52117156982422,45,,,
39.20945358276367,46,,,
33.59415817260742,47,,,
57.961036682128906,48,,,
37.081459045410156,49,,,
56.030460357666016,50,,,
64.60887145996094,51,,,
69.2608413696289,52,,,
47.54460906982422,53,,,
54.37212371826172,54,,,
79.66764831542969,55,,,
52.80998229980469,56,,,
63.873619079589844,57,,,
52.8779296875,58,,,
74.18035125732422,59,,,
41.40901565551758,60,,,
38.235321044921875,61,,,
52.99678039550781,62,,,
51.88203430175781,63,,,
54.068267822265625,64,,,
60.71329879760742,65,,,
35.58958435058594,66,,,
46.23405456542969,67,,,
65.02284240722656,68,,,
37.52008819580078,69,,,
172.1993865966797,70,,,
40.264137268066406,71,,,
41.72480392456055,72,,,
59.8108024597168,73,,,
81.7287826538086,74,,,
39.653995513916016,75,,,
61.54408645629883,76,,,
48.901058197021484,77,,,
45.708290100097656,78,,,
85.95882415771484,79,,,
44.344913482666016,80,,,
45.7102165222168,81,,,
43.02277755737305,82,,,
30.224143981933594,83,,,
82.36476135253906,84,,,
72.53068542480469,85,,,
61.70280456542969,86,,,
73.51750946044922,87,,,
51.175113677978516,88,,,
239.76181030273438,89,,,
